ElementName	DataType	Size	Required	ElementDescription	ValueRange	Notes	Aliases
asi_r_25	Integer	N/A	Recommended	When I feel dizzy I worry there is something wrong with my brain	0::4	0 = very little; 1 = a little; 2= some; 3 = much; 4 = very much	N/A
asi_r_28	Integer	N/A	Recommended	"When I get diarrhea	 I worry that I might have something wrong with me"	0::4	0 = very little; 1 = a little; 2= some; 3 = much; 4 = very much	N/A
asi_r_30	Integer	N/A	Recommended	It scares me when I feel tingling or prickling sensations in my hands	0::4	0 = very little; 1 = a little; 2= some; 3 = much; 4 = very much	N/A
asi_r_1	Integer	N/A	Recommended	"When I feel like I?m not getting enough air	 I get scared that I might suffocate "	0::4	0 = very little; 1 = a little; 2= some; 3 = much; 4 = very much	N/A
asi_r_2	Integer	N/A	Recommended	Smothering sensations scare me 	0::4	0 = very little; 1 = a little; 2= some; 3 = much; 4 = very much	N/A
asi_r_5	Integer	N/A	Recommended	It scares me when I feel faint	0::4	0 = very little; 1 = a little; 2= some; 3 = much; 4 = very much	N/A
asi_r_8	Integer	N/A	Recommended	"When my breathing becomes irregular	 I feel that something bad will happen"	0::4	0 = very little; 1 = a little; 2= some; 3 = much; 4 = very much	N/A
asi_r_10	Integer	N/A	Recommended	"When I have trouble swallowing	 I worry that I could choke"	0::4	0 = very little; 1 = a little; 2= some; 3 = much; 4 = very much	N/A
asi_r_11	Integer	N/A	Recommended	It frightens me when my surroundings seem strange or unreal	0::4	0 = very little; 1 = a little; 2= some; 3 = much; 4 = very much	N/A
asi_r_12	Integer	N/A	Recommended	It scares me when my body feels strange or different in some way	0::4	0 = very little; 1 = a little; 2= some; 3 = much; 4 = very much	N/A
asi_dts_survey_complete	Integer	N/A	Recommended	Complete?	0::2	0 = Incomplete; 1 = Unverified; 2 = Complete	N/A
siteid	Integer	N/A	Recommended	Site ID	10::100	N/A	N/A
timepoint_label	String	50	Recommended	Timepoint/visit label	N/A	N/A	N/A
worry_goingcrazy	Integer	N/A	Recommended	"ASI: Cannot Keep On Task	 Worry Crazy"	0 :: 4; -5; -7; -8	"0=Not at all; 1=A little; 2=Some; 3=A lot; 4=Extremely; -8=DON''T KNOW; -7=REFUSED; -5=Presented	 not answered"	N/A
custom_src_id	String	30	Recommended	Subject ID how it's defined in lab/project (used for source IDs that change depending on timepoint/visit/etc.)	N/A	N/A	N/A
asi_time_first_click	String	11	Recommended	Time at first click	N/A	HH:MM:SS AM/PM	N/A
asi_time_last_click	String	11	Recommended	Time at last click	N/A	HH:MM:SS AM/PM	N/A
asi_time_page_submit	String	11	Recommended	Time at scale submission	N/A	HH:MM:SS AM/PM	N/A
asi_time_click_count	Integer	N/A	Recommended	Number of clicks during scale completion	N/A	N/A	N/A
asi_tot_timing	Float	N/A	Recommended	Total time to complete scale	N/A	In minutes	N/A
qc_asi_num_items	Integer	N/A	Recommended	Quality Control (QC) ASI number of items completed	N/A	N/A	N/A
qc_asi_tot_num_nonresp	Integer	N/A	Recommended	QC ASI number of non-response items	N/A	N/A	N/A
subjectkey	GUID	N/A	Required	The NDAR Global Unique Identifier (GUID) for research subject	NDAR*	N/A	"BAPQ_SubjectKey	subject_key_father	subject_key_mother"
src_subject_id	String	20	Required	Subject ID how it's defined in lab/project	N/A	N/A	"BAPQ_src_subject_id	bapq_m_src_mother_id 	individual	measure_individual	src_subject_id_father	src_subject_id_mother"
interview_date	Date	N/A	Required	Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY	N/A	N/A	"BAPQ_DOE	bapq_interview_date_f	bapq_interview_date_i	bapq_interview_date_i_m	bapq_interview_date_m	measure_date_of_evaluation"
interview_age	Integer	N/A	Required	Age in months at the time of the interview/test/sampling/imaging.	0::1440	"Age is rounded to chronological month. If the research participant is 15-days-old at time of interview	 the appropriate value would be 0 months. If the participant is 16-days-old	 the value would be 1 month."	"BAPQ_Age	age_father	age_mother	dad_age	measure_eval_age_months	mom_age"
sex	String	20	Required	Sex of subject at birth	M;F; O; NR	M = Male; F = Female; O=Other; NR = Not reported	"gender	gender_f	gender_m"
rel_to_proband	String	25	Required	The relationship of this individual to the Proband	Proband; Self; Mother; Father; Sibling; Other; Nonbiological mother; Nonbiological father	N/A	"bapq_rel_child_f	rel_to_proband_f	rel_to_proband_m"
bapq_completed_by	String	25	Required	The relationship of the individual who this BAPQ is about to the individual who completed this BAPQ	Self;Spouse/Partner;Father;Mother;Both Parents;Other;Teacher;Step/Adoptive Parent;Unknown; Friend	N/A	"bapq_completed_by_f	bapq_completed_by_m	bapq_inform_rel_f	bapq_inform_rel_m"
proband_subjectkey	GUID	N/A	Recommended	"Proband's NDAR GUID. Proband=child with Autism or other condition	 which is a Study primary intererest group"	NDAR*	N/A	subject_key
bapq_q1	Integer	N/A	Recommended	I like being around other people	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q1_f	bapq_q1_i_f	bapq_q1_i_m	bapq_q1_m	bapq_raw_q01_like_around_people	q01_like_around_people"
bapq_q1_reversed	Integer	N/A	Recommended	I like being around other people - reverse scoring	1;2;3;4;5;6;999	1 = Very often; 2 = Often; 3 = Somewhat often; 4 = Occasionally; 5 = Rarely; 1 = Very rarely; 999=Prefer not to answer/Left blank	q01_like_around_people_r
bapq_q2	Integer	N/A	Recommended	I find it hard to get my words out smoothly	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q2_f	bapq_q2_i_f	bapq_q2_i_m	bapq_q2_m	bapq_raw_q02_words_smoothly	q02_words_smoothly"
bapq_q3	Integer	N/A	Recommended	I am comfortable with unexpected changes in plans	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q3_f	bapq_q3_i_f	bapq_q3_i_m	bapq_q3_m	bapq_raw_q03_comfortable_changes	q03_comfortable_changes"
bapq_q3_reversed	Integer	N/A	Recommended	I am comfortable with unexpected changes in plans - reverse scoring	1;2;3;4;5;6;999	1 = Very often; 2 = Often; 3 = Somewhat often; 4 = Occasionally; 5 = Rarely; 1 = Very rarely; 999=Prefer not to answer/Left blank	q03_comfortable_changes_r
bapq_q4	Integer	N/A	Recommended	It's hard for me to avoid getting sidetracked in conversation	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q4_f	bapq_q4_i_f	bapq_q4_i_m	bapq_q4_m	bapq_raw_q04_avoid_sidetracked	q04_avoid_sidetracked"
bapq_q5	Integer	N/A	Recommended	I would rather talk to people to get information than to socialize	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q5_f	bapq_q5_i_f	bapq_q5_i_m	bapq_q5_m	bapq_raw_q05_talk_for_information	q05_talk_for_information"
bapq_q6	Integer	N/A	Recommended	People have to talk me into trying something new	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q6_f	bapq_q6_i_f	bapq_q6_i_m	bapq_q6_m	bapq_raw_q06_talk_me_into_new	q06_talk_me_into_new"
bapq_q7	Integer	N/A	Recommended	"""I am """"in-tune"""" with the other person during conversation"""	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q7_f	bapq_q7_i_f	bapq_q7_i_m	bapq_q7_m	bapq_raw_q07_in_tune_with_conversation	q07_in_tune_with_conversation"
bapq_q7_reversed	Integer	N/A	Recommended	"""I am """"in-tune"""" with the other person during conversation - reverse scoring"""	1;2;3;4;5;6;999	1 = Very often; 2 = Often; 3 = Somewhat often; 4 = Occasionally; 5 = Rarely; 1 = Very rarely; 999=Prefer not to answer/Left blank	q07_in_tune_with_conversation_r
bapq_q8	Integer	N/A	Recommended	I have to warm myself up to the idea of visiting an unfamiliar place	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q8_f	bapq_q8_i_f	bapq_q8_i_m	bapq_q8_m	bapq_raw_q08_unfamiliar_place	q08_unfamiliar_place"
bapq_q9	Integer	N/A	Recommended	I enjoy being in social situations	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q9_f	bapq_q9_i_f	bapq_q9_i_m	bapq_q9_m	bapq_raw_q09_enjoy_social_situations	q09_enjoy_social_situations"
bapq_q9_reversed	Integer	N/A	Recommended	I enjoy being in social situations - reverse scoring	1;2;3;4;5;6;999	1 = Very often; 2 = Often; 3 = Somewhat often; 4 = Occasionally; 5 = Rarely; 1 = Very rarely; 999=Prefer not to answer/Left blank	q09_enjoy_social_situations_r
bapq_q10	Integer	N/A	Recommended	My voice has a flat or monotone sound to it	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q10_f	bapq_q10_i_f	bapq_q10_i_m	bapq_q10_m	bapq_raw_q10_voice_flat_monotone	q10_voice_flat_monotone"
bapq_q11	Integer	N/A	Recommended	"""I feel disconnecto or """"out of sync"""" in conversations with others"""	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q11_f	bapq_q11_i_f	bapq_q11_i_m	bapq_q11_m	bapq_raw_q11_feel_disconnected	q11_feel_disconnected"
bapq_q12	Integer	N/A	Recommended	People find it easy to approach me	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q12_f	bapq_q12_i_f	bapq_q12_i_m	bapq_q12_m	bapq_raw_q12_easy_to_approach	q12_easy_to_approach"
bapq_q12_reversed	Integer	N/A	Recommended	People find it easy to approach me - reverse scoring	1;2;3;4;5;6;999	1 = Very often; 2 = Often; 3 = Somewhat often; 4 = Occasionally; 5 = Rarely; 1 = Very rarely; 999=Prefer not to answer/Left blank	q12_easy_to_approach_r
bapq_q13	Integer	N/A	Recommended	I feel a strong need for sameness from day to day	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q13_f	bapq_q13_i_f	bapq_q13_i_m	bapq_q13_m	bapq_raw_q13_need_for_sameness	q13_need_for_sameness"
bapq_q14	Integer	N/A	Recommended	People ask me to repeat things I've said because they don't understand me	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q14_f	bapq_q14_i_f	bapq_q14_i_m	bapq_q14_m	bapq_raw_q14_asked_to_repeat	q14_asked_to_repeat"
bapq_q15	Integer	N/A	Recommended	I am flexible about how things should be done	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q15_f	bapq_q15_i_f	bapq_q15_i_m	bapq_q15_m	bapq_raw_q15_flexible_about_things	q15_flexible_about_things"
bapq_q15_reversed	Integer	N/A	Recommended	I am flexible about how things should be done - reverse scoring	1;2;3;4;5;6;999	1 = Very often; 2 = Often; 3 = Somewhat often; 4 = Occasionally; 5 = Rarely; 1 = Very rarely; 999=Prefer not to answer/Left blank	q15_flexible_about_things_r
bapq_q16	Integer	N/A	Recommended	I look forward to situations where I can meet new people	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q16_f	bapq_q16_i_f	bapq_q16_i_m	bapq_q16_m	bapq_raw_q16_look_forward_meet_ppl	q16_look_forward_meet_ppl"
bapq_q16_reversed	Integer	N/A	Recommended	I look forward to situations where I can meet new people - reverse scoring	1;2;3;4;5;6;999	1 = Very often; 2 = Often; 3 = Somewhat often; 4 = Occasionally; 5 = Rarely; 1 = Very rarely; 999=Prefer not to answer/Left blank	q16_look_forward_meet_ppl_r
bapq_q17	Integer	N/A	Recommended	I have been told that I talk too much about certain topics	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q17_f	bapq_q17_i_f	bapq_q17_i_m	bapq_q17_m	bapq_raw_q17_talk_too_much	q17_talk_too_much"
bapq_q18	Integer	N/A	Recommended	When I make conversation it is just to be polite	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q18_f	bapq_q18_i_f	bapq_q18_i_m	bapq_q18_m	bapq_raw_q18_polite_conversation	q18_polite_conversation"
bapq_q19	Integer	N/A	Recommended	I look forward to trying new things	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q19_f	bapq_q19_i_f	bapq_q19_i_m	bapq_q19_m	bapq_raw_q19_trying_new_things	q19_trying_new_things"
bapq_q19_reversed	Integer	N/A	Recommended	I look forward to trying new things - reverse scoring	1;2;3;4;5;6;999	1 = Very often; 2 = Often; 3 = Somewhat often; 4 = Occasionally; 5 = Rarely; 1 = Very rarely; 999=Prefer not to answer/Left blank	q19_trying_new_things_r
bapq_q20	Integer	N/A	Recommended	I speak too loudly or softly	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q20_f	bapq_q20_i_f	bapq_q20_i_m	bapq_q20_m	bapq_raw_q20_speak_too_loud_or_soft	q20_speak_too_loud_or_soft"
bapq_q21	Integer	N/A	Recommended	I can tell when someone is not interested in what I am saying	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q21_f	bapq_q21_i_f	bapq_q21_i_m	bapq_q21_m	bapq_raw_q21_can_tell_not_interested	q21_can_tell_not_interested"
bapq_q21_reversed	Integer	N/A	Recommended	I can tell when someone is not interested in what I am saying - reverse scoring	1;2;3;4;5;6;999	1 = Very often; 2 = Often; 3 = Somewhat often; 4 = Occasionally; 5 = Rarely; 1 = Very rarely; 999=Prefer not to answer/Left blank	q21_can_tell_not_interested_r
bapq_q22	Integer	N/A	Recommended	I have a hard time dealing with changes in my routine	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q22_f	bapq_q22_i_f	bapq_q22_i_m	bapq_q22_m	bapq_raw_q22_dealing_with_changes	q22_dealing_with_changes"
bapq_q23	Integer	N/A	Recommended	I am good at making small talk	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q23_f	bapq_q23_i_f	bapq_q23_i_m	bapq_q23_m	bapq_raw_q23_good_at_small_talk	q23_good_at_small_talk"
bapq_q23_reversed	Integer	N/A	Recommended	I am good at making small talk - reverse scoring	1;2;3;4;5;6;999	1 = Very often; 2 = Often; 3 = Somewhat often; 4 = Occasionally; 5 = Rarely; 1 = Very rarely; 999=Prefer not to answer/Left blank	q23_good_at_small_talk_r
bapq_q24	Integer	N/A	Recommended	I act very set in my ways	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q24_f	bapq_q24_i_f	bapq_q24_i_m	bapq_q24_m	bapq_raw_q24_set_in_my_ways	q24_set_in_my_ways"
bapq_q25	Integer	N/A	Recommended	I feel like I am really connecting with other people	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q25_f	bapq_q25_i_f	bapq_q25_i_m	bapq_q25_m	bapq_raw_q25_really_connecting	q25_really_connecting"
bapq_q25_reversed	Integer	N/A	Recommended	I feel like I am really connecting with other people - revese scoring	1;2;3;4;5;6;999	1 = Very often; 2 = Often; 3 = Somewhat often; 4 = Occasionally; 5 = Rarely; 1 = Very rarely; 999=Prefer not to answer/Left blank	q25_really_connecting_r
bapq_q26	Integer	N/A	Recommended	People get frustrated by my unwillingness to bend	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q26_f	bapq_q26_i_f	bapq_q26_i_m	bapq_q26_m	bapq_raw_q26_people_frustrated	q26_people_frustrated"
bapq_q27	Integer	N/A	Recommended	Conversations bore me	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q27_f	bapq_q27_i_f	bapq_q27_i_m	bapq_q27_m	bapq_raw_q27_conversating_bores_me	q27_conversating_bores_me"
bapq_q28	Integer	N/A	Recommended	I am warm and friendly in my interactions with others	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q28_f	bapq_q28_i_f	bapq_q28_i_m	bapq_q28_m	bapq_raw_q28_warm_friendly_interactns	q28_warm_friendly_interactns"
bapq_q28_reversed	Integer	N/A	Recommended	I am warm and friendly in my interactions with others - reverse scoring	1;2;3;4;5;6;999	1 = Very often; 2 = Often; 3 = Somewhat often; 4 = Occasionally; 5 = Rarely; 1 = Very rarely; 999=Prefer not to answer/Left blank	q28_warm_friendly_interactns_r
bapq_q29	Integer	N/A	Recommended	I leave long pauses in conversation	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q29_f	bapq_q29_i_f	bapq_q29_i_m	bapq_q29_m	bapq_raw_q29_long_pauses	q29_long_pauses"
bapq_q30	Integer	N/A	Recommended	I alter my daily routine by trying something different	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q30_f	bapq_q30_i_f	bapq_q30_i_m	bapq_q30_m	bapq_raw_q30_alter_my_routine	q30_alter_my_routine"
bapq_q30_reversed	Integer	N/A	Recommended	I alter my daily routine by trying something different - reverse scoring	1;2;3;4;5;6;999	1 = Very often; 2 = Often; 3 = Somewhat often; 4 = Occasionally; 5 = Rarely; 1 = Very rarely; 999=Prefer not to answer/Left blank	q30_alter_my_routine_r
