	ElementName	DataType	Size	Required	ElementDescription	ValueRange	Notes	Aliases
89	bapq_q10	Integer		Recommended	My voice has a flat or monotone sound to it	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q10_f	bapq_q10_i_f	bapq_q10_i_m	bapq_q10_m	bapq_raw_q10_voice_flat_monotone	q10_voice_flat_monotone"
90	bapq_q11	Integer		Recommended	"""I feel disconnecto or """"out of sync"""" in conversations with others"""	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q11_f	bapq_q11_i_f	bapq_q11_i_m	bapq_q11_m	bapq_raw_q11_feel_disconnected	q11_feel_disconnected"
91	bapq_q12	Integer		Recommended	People find it easy to approach me	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q12_f	bapq_q12_i_f	bapq_q12_i_m	bapq_q12_m	bapq_raw_q12_easy_to_approach	q12_easy_to_approach"
93	bapq_q13	Integer		Recommended	I feel a strong need for sameness from day to day	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q13_f	bapq_q13_i_f	bapq_q13_i_m	bapq_q13_m	bapq_raw_q13_need_for_sameness	q13_need_for_sameness"
94	bapq_q14	Integer		Recommended	People ask me to repeat things I've said because they don't understand me	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q14_f	bapq_q14_i_f	bapq_q14_i_m	bapq_q14_m	bapq_raw_q14_asked_to_repeat	q14_asked_to_repeat"
95	bapq_q15	Integer		Recommended	I am flexible about how things should be done	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q15_f	bapq_q15_i_f	bapq_q15_i_m	bapq_q15_m	bapq_raw_q15_flexible_about_things	q15_flexible_about_things"
97	bapq_q16	Integer		Recommended	I look forward to situations where I can meet new people	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q16_f	bapq_q16_i_f	bapq_q16_i_m	bapq_q16_m	bapq_raw_q16_look_forward_meet_ppl	q16_look_forward_meet_ppl"
99	bapq_q17	Integer		Recommended	I have been told that I talk too much about certain topics	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q17_f	bapq_q17_i_f	bapq_q17_i_m	bapq_q17_m	bapq_raw_q17_talk_too_much	q17_talk_too_much"
100	bapq_q18	Integer		Recommended	When I make conversation it is just to be polite	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q18_f	bapq_q18_i_f	bapq_q18_i_m	bapq_q18_m	bapq_raw_q18_polite_conversation	q18_polite_conversation"
101	bapq_q19	Integer		Recommended	I look forward to trying new things	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q19_f	bapq_q19_i_f	bapq_q19_i_m	bapq_q19_m	bapq_raw_q19_trying_new_things	q19_trying_new_things"
103	bapq_q20	Integer		Recommended	I speak too loudly or softly	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q20_f	bapq_q20_i_f	bapq_q20_i_m	bapq_q20_m	bapq_raw_q20_speak_too_loud_or_soft	q20_speak_too_loud_or_soft"
104	bapq_q21	Integer		Recommended	I can tell when someone is not interested in what I am saying	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q21_f	bapq_q21_i_f	bapq_q21_i_m	bapq_q21_m	bapq_raw_q21_can_tell_not_interested	q21_can_tell_not_interested"
106	bapq_q22	Integer		Recommended	I have a hard time dealing with changes in my routine	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q22_f	bapq_q22_i_f	bapq_q22_i_m	bapq_q22_m	bapq_raw_q22_dealing_with_changes	q22_dealing_with_changes"
107	bapq_q23	Integer		Recommended	I am good at making small talk	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q23_f	bapq_q23_i_f	bapq_q23_i_m	bapq_q23_m	bapq_raw_q23_good_at_small_talk	q23_good_at_small_talk"
109	bapq_q24	Integer		Recommended	I act very set in my ways	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q24_f	bapq_q24_i_f	bapq_q24_i_m	bapq_q24_m	bapq_raw_q24_set_in_my_ways	q24_set_in_my_ways"
110	bapq_q25	Integer		Recommended	I feel like I am really connecting with other people	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q25_f	bapq_q25_i_f	bapq_q25_i_m	bapq_q25_m	bapq_raw_q25_really_connecting	q25_really_connecting"
112	bapq_q26	Integer		Recommended	People get frustrated by my unwillingness to bend	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q26_f	bapq_q26_i_f	bapq_q26_i_m	bapq_q26_m	bapq_raw_q26_people_frustrated	q26_people_frustrated"
113	bapq_q27	Integer		Recommended	Conversations bore me	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q27_f	bapq_q27_i_f	bapq_q27_i_m	bapq_q27_m	bapq_raw_q27_conversating_bores_me	q27_conversating_bores_me"
114	bapq_q28	Integer		Recommended	I am warm and friendly in my interactions with others	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q28_f	bapq_q28_i_f	bapq_q28_i_m	bapq_q28_m	bapq_raw_q28_warm_friendly_interactns	q28_warm_friendly_interactns"
116	bapq_q29	Integer		Recommended	I leave long pauses in conversation	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q29_f	bapq_q29_i_f	bapq_q29_i_m	bapq_q29_m	bapq_raw_q29_long_pauses	q29_long_pauses"
117	bapq_q30	Integer		Recommended	I alter my daily routine by trying something different	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q30_f	bapq_q30_i_f	bapq_q30_i_m	bapq_q30_m	bapq_raw_q30_alter_my_routine	q30_alter_my_routine"
119	bapq_q31	Integer		Recommended	I perfer to be alone rather than with others	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q31_f	bapq_q31_i_f	bapq_q31_i_m	bapq_q31_m	bapq_raw_q31_prefer_to_be_alone	q31_prefer_to_be_alone"
120	bapq_q32	Integer		Recommended	I lose track of my original point when talking to people	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q32_f	bapq_q32_i_f	bapq_q32_i_m	bapq_q32_m	bapq_raw_q32_lose_track_of_point	q32_lose_track_of_point"
121	bapq_q33	Integer		Recommended	I like to closely follow a routine while working	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q33_f	bapq_q33_i_f	bapq_q33_i_m	bapq_q33_m	bapq_raw_q33_closely_follow_routine	q33_closely_follow_routine"
122	bapq_q34	Integer		Recommended	I can tell when it is time to change topics in coversation	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q34_f	bapq_q34_i_f	bapq_q34_i_m	bapq_q34_m	bapq_raw_q34_time_to_change_topics	q34_time_to_change_topics"
124	bapq_q35	Integer		Recommended	"""I keep doing things the way I know	 even if another way might be better"""	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q35_f	bapq_q35_i_f	bapq_q35_i_m	bapq_q35_m	bapq_raw_q35_keep_doing_things_same	q35_keep_doing_things_same"
125	bapq_q36	Integer		Recommended	I enjoy chatting with people	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q36_f	bapq_q36_i_f	bapq_q36_i_m	bapq_q36_m	bapq_raw_q36_enjoy_chatting	q36_enjoy_chatting"
128	bapq_aloof_ave	Float		Recommended	BAPQ Aloof subscale average			"aloof_average	aloof_average	bapq_aloof_ave_f	bapq_aloof_ave_i_f	bapq_aloof_ave_i_m	bapq_aloof_ave_m"
130	bapq_prag_lang_ave	Float		Recommended	BAPQ Pragmatic Langauge subscale average			"bapq_prag_ave_f	bapq_prag_ave_i_m	bapq_prag_lang_ave_m	bapq_rigid_ave_i_f	pragmatic_average	pragmatic_average"
131	bapq_rigid_subscale	Integer		Required	BAPQ Rigid subscale total	0 :: 72; 999		"BAPQ_Rigid	bapq_prag_i_f	bapq_rigid_f	bapq_rigid_i_m	bapq_rigid_m	rigid	rigid"
132	bapq_rigid_subscale_ave	Float		Recommended	BAPQ Rigid subscale average			"BAPQ_Rigid_Ave	bapq_prag_ave_i_f	bapq_rigid_ave_f	bapq_rigid_ave_i_m	bapq_rigid_ave_m	rigid_average	rigid_average"
133	bapq_total	Integer		Required	BAPQ Total	0 :: 216; 999		"bapq_total_f	bapq_total_i	bapq_total_i_m	bapq_total_m	total	total"
134	bapq_total_ave	Float		Recommended	BAPQ Total average			"average	bapq_total_ave_f	bapq_total_ave_i	bapq_total_ave_i_m	bapq_total_ave_m"
137	time_first_click	String	11.0	Recommended	Time at first click		HH:MM:SS AM/PM	bapq_p1_time_first_click
138	time_last_click	String	11.0	Recommended	Time at last click		HH:MM:SS AM/PM	bapq_p1_time_last_click
139	time_page_submit	String	11.0	Recommended	Time at scale submission		HH:MM:SS AM/PM	bapq_p1_time_page_submit
140	time_click_count	Integer		Recommended	(Total) Number of clicks during scale completion			bapq_p1_time_click_count
141	qc_tot_num_items	Integer		Recommended	Quality Control (QC) (total) number of items (completed)			qc_bapq_tot_num_items
142	qc_tot_num_nonresp	Integer		Recommended	Quality Control (QC) (total) number of non-response items			qc_bapq_tot_num_nonresp
143	qc_bapq_aloof_num_items	Integer		Recommended	Quality Control (QC) BAPQ Aloof subscale number of items			
144	qc_bapq_aloof_num_nonresp	Integer		Recommended	Quality Control (QC) BAPQ Aloof subscale number of nonresponse items			
145	qc_bapq_rigid_num_items	Integer		Recommended	Quality Control (QC) BAPQ Rigid subscale number of items			
146	qc_bapq_rigid_num_nonresp	Integer		Recommended	Quality Control (QC) BAPQ Rigid subscale number of nonresponse items			
147	qc_bapq_prag_num_items	Integer		Recommended	Quality Control (QC) BAPQ Pragmatic Language subscale number of items			
148	qc_bapq_prag_num_nonresp	Integer		Recommended	Quality Control (QC) BAPQ Pragmatic Language subscale number of nonresponse items			
149	tot_timing	Float		Recommended	Total timing/time to complete scale		In minutes	bapq_tot_timing
150	subjectkey	GUID		Required	The NDAR Global Unique Identifier (GUID) for research subject	NDAR*		nimhid
151	src_subject_id	String	20.0	Required	Subject ID how it's defined in lab/project			ptid
152	interview_date	Date		Required	Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY			"date_bis	testdate"
153	interview_age	Integer		Required	Age in months at the time of the interview/test/sampling/imaging.	0::1440	"Age is rounded to chronological month. If the research participant is 15-days-old at time of interview	 the appropriate value would be 0 months. If the participant is 16-days-old	 the value would be 1 month."	age
154	sex	String	20.0	Required	Sex of subject at birth	M;F; O; NR	M = Male; F = Female; O=Other; NR = Not reported	gender
155	bis1	Integer		Recommended	I/They plan tasks carefully.	1 :: 4; 9999	4= Rarely/Never; 3=Occasionally; 2=Often; 1= Almost Always/Always; 9999 = Prefer not to answer/Left blank	"barratt1	bis_1	bis_11_01	bis_1r	bis_c01	bis_pac01	bis_teen_1	obis_11_s1"
156	bis2	Integer		Recommended	I/They do things without thinking.	1 :: 4 ; 444; 555; 777; 888; 999; 9999	1 = Rarely/Never; 2 = Occasionally; 3 = Often; 4 = Almost always/always; 444 = Do not wish to respond;999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing; 9999 = Prefer not to answer/Left blank	"abm05	barratt2	bis_11_02	bis_2	bis_c02	bis_pac02	bis_teen_2	obis_11_s2"
157	bis3	Integer		Recommended	I/They make up my mind quickly.	1 :: 4 ; 444; 555; 777; 888; 999; 9999	1 = Rarely/Never; 2 = Occasionally; 3 = Often; 4 = Almost always/always; 444 = Do not wish to respond;999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing; 9999 = Prefer not to answer/Left blank	"abm04	barratt3	bis_11_03	bis_3	bis_c03	bis_pac03	bis_teen_3	obis_11_s3"
158	bis4	Integer		Recommended	I/They am happy-go-lucky.	1 :: 4 ; 444; 555; 777; 888; 999; 9999	1 = Rarely/Never; 2 = Occasionally; 3 = Often; 4 = Almost always/always; 444 = Do not wish to respond;999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing; 9999 = Prefer not to answer/Left blank	"abm07	barratt4	bis_11_04	bis_4	bis_c04	bis_pac04	bis_teen_4	obis_11_s4"
159	bis5	Integer		Recommended	"I/They don't ""pay attention."""	1 :: 4 ; 444; 555; 777; 888; 999; 9999	1 = Rarely/Never; 2 = Occasionally; 3 = Often; 4 = Almost always/always; 444 = Do not wish to respond;999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing; 9999 = Prefer not to answer/Left blank	"aca03	barratt5	bis_11_05	bis_5	bis_c05	bis_pac05	bis_teen_5	obis_11_s5"
160	bis6	Integer		Recommended	"I/They have ""racing"" thoughts."	1 :: 4 ; 444; 555; 777; 888; 999; 9999	1 = Rarely/Never; 2 = Occasionally; 3 = Often; 4 = Almost always/always; 444 = Do not wish to respond;999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing; 9999 = Prefer not to answer/Left blank	"aca07	barratt6	bis_11_06	bis_6	bis_c06	bis_pac06	bis_teen_6	obis_11_s6"
161	bis7	Integer		Recommended	I/They plan trips well ahead of time.	1 :: 4; 9999	4= Rarely/Never; 3=Occasionally; 2=Often; 1= Almost Always/Always; 9999 = Prefer not to answer/Left blank	"barratt7	bis_11_07	bis_7	bis_7r	bis_c07	bis_pac07	bis_teen_7	obis_11_s7"
162	bis8	Integer		Recommended	I/They am self controlled.	1 :: 4; 9999	4= Rarely/Never; 3=Occasionally; 2=Often; 1= Almost Always/Always; 9999 = Prefer not to answer/Left blank	"barratt8	bis_11_08	bis_8	bis_8r	bis_c08	bis_pac08	bis_teen_8	obis_11_s8"
163	bis9	Integer		Recommended	I/They concentrate easily.	1 :: 4 ; 444; 555; 777; 888; 999; 9999	4= Rarely/Never; 3=Occasionally; 2=Often; 1= Almost Always/Always;444 = Do not wish to respond;999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing; 9999 = Prefer not to answer/Left blank	"aca04	barratt9	bis_11_09	bis_9	bis_9r	bis_c09	bis_pac09	bis_teen_9	obis_11_s9"
164	bis10	Integer		Recommended	I/They save regularly.	1 :: 4; 555; 9999	4= Rarely/Never; 3=Occasionally; 2=Often; 1= Almost Always/Always; 555=Missing; 9999 = Prefer not to answer/Left blank	"barratt10	bis_10	bis_10r	bis_11_10	bis_c10	bis_pac10	bis_teen_10	obis_11_s10"
165	bis11	Integer		Recommended	"I/They ""squirm"" at plays or lectures."	1 :: 4 ; 444; 555; 777; 888; 999; 9999	1 = Rarely/Never; 2 = Occasionally; 3 = Often; 4 = Almost always/always; 444 = Do not wish to respond;999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing; 9999 = Prefer not to answer/Left blank	"aca01	barratt11	bis_11	bis_11_11	bis_c11	bis_pac11	bis_teen_11	obis_11_s11"
